Time (s), INST BN VOLTS
0, 5476.6005859375
0.0002606, 6419.55615234375
0.0005212, 7325.2197265625
0.0007818, 8145.64453125
0.0010424, 8854.193359375
0.001303, 9450.865234375
0.0015636, 9887.71484375
0.0018242, 10180.7236328125
0.0020848, 10351.201171875
0.0023454, 10441.767578125
0.002606, 10495.0419921875
0.0028666, 10500.369140625
0.0031272, 10452.4228515625
0.0033878, 10356.529296875
0.0036484, 10127.44921875
0.003909, 9791.8212890625
0.0041696, 9317.6796875
0.0044302, 8683.71484375
0.0046908, 7953.85693359375
0.0049514, 7149.41455078125
0.005212, 6275.71533203125
0.0054726, 5354.06982421875
0.0057332, 4405.78662109375
0.0059938, 3436.19409179688
0.0062544, 2445.29150390625
0.006515, 1443.73425292969
0.0067756, 420.867156982422
0.0070362, -586.017578125
0.0072968, -1603.55725097656
0.0075574, -2589.13232421875
0.007818, -3553.3974609375
0.0080786, -4522.990234375
0.0083392, -5471.2734375
0.0085998, -6408.9013671875
0.0088604, -7298.58251953125
0.009121, -8103.02490234375
0.0093816, -8822.228515625
0.0096422, -9402.91796875
0.0099028, -9834.4404296875
0.0101634, -10122.1220703125
0.010424, -10313.9091796875
0.0106846, -10409.802734375
0.0109452, -10473.732421875
0.0112058, -10468.4052734375
0.0114664, -10431.11328125
0.011727, -10329.8916015625
0.0119876, -10095.484375
0.0122482, -9765.18359375
0.0125088, -9285.71484375
0.0127694, -8657.078125
0.01303, -7921.89208984375
0.0132906, -7106.794921875
0.0135512, -6238.42333984375
0.0138118, -5311.4501953125
0.0140724, -4347.18505859375
0.014333, -3372.26489257813
0.0145936, -2386.68969726563
0.0148542, -1374.4775390625
0.0151148, -367.592834472656
0.0153754, 633.964477539063
0.015636, 1635.52185058594
0.0158966, 2615.76928710938
0.0161572, 3558.72485351563
0.0164178, 4522.990234375
0.0166784, 5460.6181640625
0.016939, 6398.24658203125
0.0171996, 7287.927734375
0.0174602, 8097.697265625
0.0177208, 8822.228515625
0.0179814, 9418.900390625
0.018242, 9855.75
0.0185026, 10159.4140625
0.0187632, 10356.529296875
0.0190238, 10441.767578125
0.0192844, 10505.697265625
0.019545, 10500.369140625
0.0198056, 10468.4052734375
0.0200662, 10372.5107421875
0.0203268, 10148.7587890625
0.0205874, 9813.130859375
0.020848, 9333.662109375
0.0211086, 8699.697265625
0.0213692, 7959.18408203125
0.0216298, 7138.759765625
0.0218904, 6259.7333984375
0.022151, 5332.759765625
0.0224116, 4379.1494140625
0.0226722, 3404.2294921875
0.0229328, 2418.654296875
0.0231934, 1417.09704589844
0.023454, 415.539733886719
0.0237146, -596.672424316406
0.0239752, -1592.90234375
0.0242358, -2573.14990234375
0.0244964, -3526.76025390625
0.024757, -4491.02587890625
0.0250176, -5433.98095703125
0.0252782, -6366.28173828125
0.0255388, -7255.962890625
0.0257994, -8071.060546875
0.02606, -8790.263671875
0.0263206, -9381.6083984375
0.0265812, -9818.4580078125
0.0268418, -10116.7939453125
0.0271024, -10319.2373046875
0.027363, -10415.130859375
0.0276236, -10484.3876953125
0.0278842, -10473.732421875
0.0281448, -10436.4404296875
0.0284054, -10335.21875
0.028666, -10106.1396484375
0.0289266, -9775.8388671875
0.0291872, -9301.697265625
0.0294478, -8662.4052734375
0.0297084, -7927.2197265625
0.029969, -7117.44970703125
0.0302296, -6238.42333984375
0.0304902, -5316.77783203125
0.0307508, -4347.18505859375
0.0310114, -3382.91967773438
0.031272, -2402.67211914063
0.0315326, -1401.11474609375
0.0317932, -394.230010986328
0.0320538, 617.982177734375
0.0323144, 1619.53955078125
0.032575, 2594.45971679688
0.0328356, 3553.3974609375
0.0330962, 4507.0078125
0.0333568, 5455.291015625
0.0336174, 6392.9189453125
0.033878, 7287.927734375
0.0341386, 8103.02490234375
0.0343992, 8822.228515625
0.0346598, 9424.228515625
0.0349204, 9861.078125
0.035181, 10159.4140625
0.0354416, 10356.529296875
0.0357022, 10452.4228515625
0.0359628, 10516.3515625
0.0362234, 10516.3515625
0.036484, 10479.0595703125
0.0367446, 10372.5107421875
0.0370052, 10143.431640625
0.0372658, 9807.8037109375
0.0375264, 9333.662109375
0.037787, 8694.3701171875
0.0380476, 7964.51171875
0.0383082, 7138.759765625
0.0385688, 6259.7333984375
0.0388294, 5338.08740234375
0.03909, 4384.47705078125
0.0393506, 3414.88427734375
0.0396112, 2434.63671875
0.0398718, 1433.07934570313
0.0401324, 426.194610595703
0.040393, -570.035278320313
0.0406536, -1582.24743652344
0.0409142, -2557.16772460938
0.0411748, -3521.43286132813
0.0414354, -4485.6982421875
0.041696, -5433.98095703125
0.0419566, -6355.626953125
0.0422172, -7250.6357421875
0.0424778, -8071.060546875
0.0427384, -8790.263671875
0.042999, -9386.9365234375
0.0432596, -9829.11328125
0.0435202, -10138.1044921875
0.0437808, -10329.8916015625
0.0440414, -10420.4580078125
0.044302, -10484.3876953125
0.0445626, -10479.0595703125
0.0448232, -10425.78515625
0.0450838, -10335.21875
0.0453444, -10095.484375
0.045605, -9754.529296875
0.0458656, -9275.060546875
0.0461262, -8646.4228515625
0.0463868, -7911.2373046875
0.0466474, -7101.4677734375
0.046908, -6233.09619140625
0.0471686, -5322.10498046875
0.0474292, -4373.822265625
0.0476898, -3409.55688476563
0.0479504, -2429.30932617188
0.048211, -1422.42443847656
0.0484716, -420.867156982422
0.0487322, 575.362731933594
0.0489928, 1598.22973632813
0.0492534, 2567.82250976563
0.049514, 3532.087890625
0.0497746, 4501.6806640625
0.0500352, 5455.291015625
0.0502958, 6398.24658203125
0.0505564, 7303.91015625
0.050817, 8124.33447265625
0.0510776, 8848.865234375
0.0513382, 9445.5380859375
0.0515988, 9893.0419921875
0.0518594, 10175.396484375
0.05212, 10356.529296875
0.0523806, 10436.4404296875
0.0526412, 10495.0419921875
0.0529018, 10489.71484375
0.0531624, 10441.767578125
0.053423, 10345.8740234375
0.0536836, 10116.7939453125
0.0539442, 9781.166015625
0.0542048, 9301.697265625
0.0544654, 8678.3876953125
0.054726, 7953.85693359375
0.0549866, 7160.0693359375
0.0552472, 6286.37060546875
0.0555078, 5375.37939453125
0.0557684, 4421.76904296875
0.056029, 3462.8310546875
0.0562896, 2471.9287109375
0.0565502, 1465.0439453125
0.0568108, 452.831756591797
0.0570714, -554.052978515625
0.057332, -1571.59265136719
0.0575926, -2557.16772460938
0.0578532, -3526.76025390625
0.0581138, -4491.02587890625
0.0583744, -5439.30859375
0.058635, -6366.28173828125
0.0588956, -7271.9453125
0.0591562, -8081.71533203125
0.0594168, -8790.263671875
0.0596774, -9381.6083984375
0.059938, -9818.4580078125
0.0601986, -10111.466796875
0.0604592, -10303.2548828125
