t,signal
0.038625,0.13593
0.03875,0.088013
0.038875,0.040092
0.039,-0.0047017
0.039125,-0.047321
0.03925,-0.089192
0.039375,-0.12719
0.0395,-0.16308
0.039625,-0.19842
0.03975,-0.23452
0.039875,-0.27251
0.04,-0.31092
0.040125,-0.35014
0.04025,-0.38841
0.040375,-0.42641
0.0405,-0.46297
0.040625,-0.49866
0.04075,-0.53197
0.040875,-0.5612
0.041,-0.58947
0.041125,-0.61952
0.04125,-0.64766
0.041375,-0.67355
0.0415,-0.70183
0.041625,-0.73072
0.04175,-0.75879
0.041875,-0.78571
0.042,-0.80984
0.042125,-0.83465
0.04225,-0.86075
0.042375,-0.88815
0.0425,-0.91153
0.042625,-0.93042
0.04275,-0.94885
0.042875,-0.96618
0.043,-0.97631
0.043125,-0.98059
0.04325,-0.98405
0.043375,-0.98779
0.0435,-0.9916
0.043625,-0.99466
0.04375,-0.99745
0.043875,-0.99955
0.044,-1.001
0.044125,-1.0025
0.04425,-1.0036
0.044375,-1.0038
0.0445,-1.0035
0.044625,-1.0016
0.04475,-0.99636
0.044875,-0.98603
0.045,-0.96964
0.045125,-0.95041
0.04525,-0.93076
0.045375,-0.91044
0.0455,-0.88889
0.045625,-0.86517
0.04575,-0.84029
0.045875,-0.81643
0.046,-0.79224
0.046125,-0.76681
0.04625,-0.74078
0.046375,-0.71502
0.0465,-0.69102
0.046625,-0.66404
0.04675,-0.63236
0.046875,-0.59729
0.047,-0.55956
0.047125,-0.51994
0.04725,-0.48133
0.047375,-0.44408
0.0475,-0.4018
0.047625,-0.36217
0.04775,-0.32465
0.047875,-0.28584
0.048,-0.24635
0.048125,-0.20454
0.04825,-0.16342
0.048375,-0.12379
0.0485,-0.083346
0.048625,-0.039776
0.04875,0.0066497
0.048875,0.053415
0.049,0.098549
0.049125,0.14253
0.04925,0.18528
0.049375,0.22443
0.0495,0.26094
0.049625,0.29683
0.04975,0.33326
0.049875,0.37112
0.05,0.40946
0.050125,0.44813
0.05025,0.48579
0.050375,0.52263
0.0505,0.55784
0.050625,0.59183
0.05075,0.62446
0.050875,0.65531
0.051,0.68536
0.051125,0.71561
0.05125,0.74402
0.051375,0.77114
0.0515,0.8003
0.051625,0.82939
0.05175,0.85536
0.051875,0.88003
0.052,0.90444
0.052125,0.93074
0.05225,0.95718
0.052375,0.98546
0.0525,1.0086
0.052625,1.0267
0.05275,1.0462
0.052875,1.0635
0.053,1.0732
0.053125,1.0782
0.05325,1.0812
0.053375,1.0849
0.0535,1.0885
0.053625,1.0919
0.05375,1.0948
0.053875,1.0973
0.054,1.0986
0.054125,1.0999
0.05425,1.1011
0.054375,1.1014
0.0545,1.1009
0.054625,1.0988
0.05475,1.0944
0.054875,1.0843
0.055,1.0685
0.055125,1.0498
0.05525,1.0286
0.055375,1.0069
0.0555,0.98566
0.055625,0.9631
0.05575,0.93822
0.055875,0.91409
