,time,raw,gapsopq,sannpq
88,0.0214815788785927,-0.274742431640625,-0.2648172412448079,-0.25495576013221827
89,0.0216117702657357,-0.227579565429688,-0.22013228972225024,-0.21333192966840314
90,0.0217419616528787,-0.180416687011719,-0.17451567128189013,-0.17124896456096833
91,0.0218721530400217,-0.133253820800781,-0.1283697799687353,-0.12880839506693556
92,0.0220023444271646,-0.0898340393066406,-0.08201201953481216,-0.08611177596744658
93,0.0221325358143076,-0.048660104370117196,-0.035677802156948296,-0.04326048653585244
94,0.0222627272014506,-0.0119778717041016,0.010366666524209572,-0.0003555865189331511
95,0.0223929185885936,0.023955743408203098,0.05538669005971366,0.0425022836262295
96,0.0225231099757366,0.0591407409667969,0.0997748328109541,0.08521299790200675
97,0.0226533013628796,0.0935771240234375,0.14328335219680077,0.12767707911571546
98,0.0227834927500226,0.12876212158203099,0.18567866843122233,0.16979587847897565
99,0.0229136841371655,0.164695739746094,0.22679669118122597,0.21147176744378282
100,0.0230438755243085,0.200629345703125,0.2665900344396223,0.2526083207940422
101,0.0231740669114515,0.237311572265625,0.3051463337555621,0.2931104770090758
102,0.0233042582985945,0.275491040039063,0.3426678099633247,0.33288466217750173
103,0.0234344496857375,0.315167749023438,0.37941744145388656,0.37183891078622733
104,0.0235646410728805,0.358587524414063,0.4156489969128532,0.40988301790608633
105,0.0236948324600235,0.40125869140625,0.45154303734628826,0.4469287206267253
106,0.0238250238471664,0.444678466796875,0.48716695774335206,0.48288992876818987
107,0.0239552152343094,0.486601025390625,0.5224674289052329,0.5176829818290017
108,0.0240854066214524,0.53002080078125,0.557290979778483,0.5512268542712343
109,0.0242155980085954,0.573440625,0.5914204220662869,0.5834433218032047
110,0.0243457893957384,0.6101228515625,0.6246110687745001,0.614257099976248
111,0.0244759807828814,0.6460564453125,0.6566151824602977,0.6435959475985306
112,0.0246061721700244,0.676749755859375,0.6871903305038464,0.6713907910059477
113,0.0247363635571674,0.708940283203125,0.7160959353224724,0.6975758938301932
114,0.0248665549443103,0.73514189453125,0.7430875638084359,0.7220890468503175
115,0.0249967463314533,0.760594873046875,0.7679187294645844,0.744871769794532
116,0.0251269377185963,0.783053369140625,0.7903554954592543,0.7658695112805971
117,0.0252571291057393,0.800271533203125,0.8102027284518216,0.7850318132866579
118,0.0253873204928823,0.818986962890625,0.8271887019553201,0.8023124329635358
119,0.0255175118800253,0.8302162109375,0.8415386568214908,0.8176694456199345
120,0.0256477032671683,0.84369130859375,0.8532811015233921,0.8310653404404915
121,0.0257778946543112,0.85566923828125,0.8625494943644438,0.8424671071464533
122,0.0259080860414542,0.86390400390625,0.8695202882588056,0.8518463438781507
123,0.0260382774285972,0.87064150390625,0.8743934026193886,0.859179399931881
124,0.0261684688157402,0.8773791015625,0.877371108539615,0.8644475030601888
125,0.0262986602028832,0.8856138671875,0.8786373054280306,0.8676368540764726
126,0.0264288515900262,0.88935693359375,0.8783390701659142,0.8687387027463442
127,0.0265590429771692,0.89010556640625,0.8765724652274245,0.867749397843262
128,0.0266892343643121,0.8886083984375,0.8733737114026064,0.8646704063384859
129,0.0268194257514551,0.8886083984375,0.868716979709591,0.8595083148379695
130,0.0269496171385981,0.88261943359375,0.8625186386878264,0.8522748262398571
131,0.0270798085257411,0.8773791015625,0.8546477706034828,0.8429867490495015
132,0.0272099999128841,0.8676470703125,0.844941707215456,0.8316659745218604
133,0.0273401913000271,0.85716640625,0.8332248442006523,0.8183394423715818
134,0.0274703826871701,0.839199609375,0.8193287769900073,0.8030390922565802
135,0.027600574074313,0.819735546875,0.8031116673965497,0.7858017967317779
136,0.027730765461456,0.795779833984375,0.7844748536687397,0.7666692703596788
137,0.027860956848599,0.768081005859375,0.7633752865313715,0.7456879567673493
138,0.027991148235742,0.740382177734375,0.7398325000108819,0.7229089043928375
139,0.028121339622885,0.711934765625,0.7139299397298746,0.6983876351056895
140,0.028251531010028,0.6834873046875,0.6858104733536358,0.6721840001129167
141,0.028381722397171,0.65503984375,0.6556669339081215,0.6443620174025245
142,0.0285119137843139,0.6280896484375,0.6237285955880827,0.614989716226746
143,0.0286421051714569,0.598144970703125,0.5902449976674715,0.5841389598452258
